Ohio County,AU 00,SP 01,AU 01,SP 02,AU 02,SP 03,AU 03,SP 04,AU 04,SP 05,AU 05,SP 06,AU 06,SP 07,AU 07,SP 08,AU 08,SP 09,AU 09,SP 10,AU 10,SP 11,AU 11,SP 12,AU 12,SP 13,AU 13,SP 14,AU 14,SP 15,AU 15,SP 16,AU 16,SP 17,AU 17,HH_Income00,HH_Income01,HH_Income02,HH_Income03,HH_Income04,HH_Income05,HH_Income06,HH_Income07,HH_Income08,HH_Income09,HH_Income10,HH_Income11,HH_Income12,HH_Income13,HH_Income14,HH_Income15,Population00,Population01,Population02,Population03,Population04,Population05,Population06,Population07,Population08,Population09,Population10,Population11,Population12,Population13,Population14,Population15,collegeAged00,collegeAged01,collegeAged02,collegeAged03,collegeAged04,collegeAged05,collegeAged06,collegeAged07,collegeAged08,collegeAged09,collegeAged10,collegeAged11,collegeAged12,collegeAged13,collegeAged14,collegeAged15
Adams,47,49,39,45,31,29,21,20,19,13,15,19,18,20,21,19,26,24,21,20,25,25,23,22,25,25,19,21,21,18,21,19,19,20,21,29315,29315,29315,29315,29315,29315,29315,29315,29315,33850,32791,34232,34282,35678,34733,35560,27330,27330,27330,27330,27330,27330,27330,27330,27330,28142,28578,28551,28524,28406,28342,28229,2371,2371,2371,2371,2371,2371,2371,2371,2371,2195,2229,2198,2196,2187,2211,2145
Allen,442,431,431,392,446,419,457,421,450,416,456,399,428,398,415,368,425,398,417,390,382,356,372,347,332,325,351,317,344,311,328,315,324,311,315,37048,37048,37048,37048,37048,37048,37048,37048,37048,43433,43632,43323,43194,42823,43648,44103,108473,108473,108473,108473,108473,108473,108473,108473,108473,104946,106586,106468,106079,105895,105562,105196,10725,10725,10725,10725,10725,10725,10725,10725,10725,10495,11405,11392,11350,11437,11401,11151
Ashland,134,118,132,131,150,135,150,144,148,131,144,138,147,137,143,138,132,114,129,114,114,112,151,131,143,144,147,133,132,115,109,105,98,100,96,39179,39179,39179,39179,39179,39179,39179,39179,39179,45556,44542,45641,44996,46548,47034,48003,52523,52523,52523,52523,52523,52523,52523,52523,52523,54622,53341,53331,53203,53234,53202,53189,5624,5624,5624,5624,5624,5624,5624,5624,5624,5954,5707,5653,5640,5749,5799,5744
Ashtabula,166,159,157,148,157,148,174,165,186,174,171,161,162,141,154,144,120,119,125,111,123,100,107,98,112,103,115,121,121,116,123,122,127,117,124,35607,35607,35607,35607,35607,35607,35607,35607,35607,41498,42139,41501,41075,40516,40304,40544,102728,102728,102728,102728,102728,102728,102728,102728,102728,101375,101867,101676,101262,100835,100346,99777,7917,7917,7917,7917,7917,7917,7917,7917,7917,7907,7946,7931,7898,7966,8028,7982
Athens,78,68,77,73,73,72,86,78,73,68,69,68,73,69,72,74,76,77,58,59,68,60,70,65,70,66,72,68,74,70,73,70,81,74,75,27322,27322,27322,27322,27322,27322,27322,27322,27322,30190,31559,33546,33836,33823,33773,33872,62223,62223,62223,62223,62223,62223,62223,62223,62223,63073,64455,64562,64592,64811,64840,64974,19273,19273,19273,19273,19273,19273,19273,19273,19273,21949,20755,20724,20734,20545,20489,19622
Auglaize,202,182,208,195,212,211,206,197,205,198,209,183,203,187,207,198,204,193,224,199,217,193,192,178,181,174,178,177,177,167,169,167,163,159,154,43367,43367,43367,43367,43367,43367,43367,43367,43367,52185,52018,52838,52267,52239,52773,54274,46611,46611,46611,46611,46611,46611,46611,46611,46611,46620,46023,45986,45934,45906,45867,45873,3663,3663,3663,3663,3663,3663,3663,3663,3663,3963,3590,3495,3491,3489,3532,3670
Belmont,235,223,243,226,234,214,223,202,245,226,240,215,209,184,215,198,195,183,188,169,186,173,162,146,147,140,145,139,134,127,129,133,138,133,128,29714,29714,29714,29714,29714,29714,29714,29714,29714,37753,38320,39712,41676,41534,43045,43833,70226,70226,70226,70226,70226,70226,70226,70226,70226,68372,70403,70346,70182,69990,69793,69560,5344,5344,5344,5344,5344,5344,5344,5344,5344,5880,5914,5839,5755,5809,5583,5426
Brown,26,24,30,32,41,35,41,32,37,36,46,37,36,35,48,44,48,54,66,58,66,59,67,65,69,64,66,65,70,59,49,46,45,36,32,38303,38303,38303,38303,38303,38303,38303,38303,38303,45169,45887,46046,45807,44341,44899,45568,42285,42285,42285,42285,42285,42285,42285,42285,42285,43823,44618,44688,44666,44604,44464,44247,3425,3425,3425,3425,3425,3425,3425,3425,3425,3506,3569,3441,3484,3435,3468,3407
Butler,648,625,712,671,775,731,857,817,917,853,931,884,977,906,1001,946,1010,955,1044,964,1049,954,985,928,948,936,930,894,925,902,943,911,948,912,884,47885,47885,47885,47885,47885,47885,47885,47885,47885,54344,54788,55497,56253,56610,56998,57540,332807,332807,332807,332807,332807,332807,332807,332807,332807,356878,363465,366167,368029,369650,371154,372538,39350,39350,39350,39350,39350,39350,39350,39350,39350,36045,40708,41011,41219,42879,43796,44705
Carroll,40,33,30,27,25,22,30,32,30,29,29,30,21,20,24,24,28,27,36,32,45,41,42,41,44,44,44,44,46,44,38,35,39,38,35,35509,35509,35509,35509,35509,35509,35509,35509,35509,42375,43148,43323,43127,43779,45660,47075,28836,28836,28836,28836,28836,28836,28836,28836,28836,28752,28988,28913,28828,28689,28539,28361,2098,2098,2098,2098,2098,2098,2098,2098,2098,2070,2058,2053,2047,2037,2055,2042
